src_id,dst_id,correlation,common
1,1974,0.4560065,110
1,8115,0.42993763,133
1,10444,0.3868381,157
1,10714,0.38065472,307
1,8211,0.36511117,134
1,160,0.36239544,487
1,2298,0.34958225,157
1,7655,0.33758214,381
1,4087,0.33711976,632
1,10717,0.33668813,278
1,578,0.32215875,2513
1,10500,0.31777945,128
1,2251,0.3157754,3834
1,6151,0.3017131,322
1,18849,0.2998322,145
1,3167,0.2994376,1178
1,7465,0.29404023,867
1,15591,0.2874581,117
1,6336,0.2872876,269
1,6024,0.28287813,126
1,16664,0.27806017,393
1,7785,0.27661481,765
1,1749,0.27076256,201
1,10624,0.25606328,333
1,3420,0.25495842,599
1,16201,0.2538965,633
1,907,0.253149,455
1,31297,0.25116548,419
1,10431,0.25078335,280
1,420,0.2484375,225
1,746,0.24518435,441
1,5332,0.23987244,111
1,81,0.23674956,474
1,1619,0.23664978,220
1,12883,0.23619114,757
1,23459,0.23261958,115
1,10834,0.23120885,210
1,7367,0.23056895,317
1,838,0.22915262,143
1,3087,0.22902003,723
1,2273,0.22596358,588
1,9055,0.22409958,247
1,6467,0.22329485,267
1,24405,0.2230463,315
1,659,0.22147168,565
1,1170,0.22095004,192
1,10418,0.21299642,1278
1,3375,0.21209446,446
1,13601,0.20939279,4719
1,8023,0.20900086,388
5,10714,0.46385238,307
5,6984,0.42286354,163
5,10717,0.4000536,278
5,8023,0.39858454,388
5,18849,0.39234838,145
5,1253,0.38728335,391
5,11113,0.3819739,587
5,8057,0.36665228,145
5,1051,0.35834226,396
5,2397,0.35529315,700
5,10622,0.34959516,267
5,5332,0.33488595,111
5,22839,0.32994223,308
5,2273,0.32857272,588
5,8115,0.3217026,133
5,10418,0.31359416,1278
5,2298,0.3098642,157
5,565,0.30965823,704
5,7016,0.30544305,116
5,10711,0.29433593,1020
5,7367,0.29207966,317
5,5504,0.28360537,153
5,10108,0.2809018,146
5,746,0.27971703,441
5,7580,0.2768838,336
5,10500,0.27657384,128
5,3087,0.27371144,723
5,6974,0.26790953,811
5,16201,0.26785403,633
5,3375,0.2662257,446
5,10834,0.26077074,210
5,958,0.26060173,106
5,24991,0.25791684,629
5,7739,0.25358358,498
5,16353,0.25240627,849
5,16664,0.2510777,393
5,11255,0.23791184,108
5,6633,0.23733968,385
5,6467,0.23225027,267
5,7897,0.23141032,163
5,1887,0.23003578,3441
5,30276,0.22883406,4876
5,7465,0.2269505,867
5,8525,0.21991554,3977
5,585,0.21776952,1290
5,659,0.21766193,565
5,5764,0.20952217,907
5,16317,0.2074774,144
5,936,0.2047936,1758
5,6151,0.1966569,322
6,6024,0.48011458,126
6,24919,0.47749415,102
6,8230,0.46101537,127
6,32553,0.42881936,115
6,1253,0.4270184,391
6,10671,0.40377623,189
6,11255,0.39583647,108
6,6882,0.3851499,197
6,4130,0.36199772,181
6,3392,0.35606232,277
6,20509,0.35338083,630
6,541,0.34705743,210
6,31478,0.3469578,1057
6,670,0.34627107,393
6,24893,0.33965445,645
6,461,0.33869565,775
6,31143,0.33680406,174
6,160,0.33293605,487
6,8348,0.33025062,204
6,9347,0.32327774,286
6,10714,0.32313076,307
6,1191,0.31955105,107
6,6467,0.31933305,267
6,200,0.31858692,143
6,1619,0.31564298,220
6,10444,0.31361356,157
6,10622,0.29667857,267
6,6974,0.29131192,811
6,492,0.28796548,206
6,30585,0.28616786,124
6,30514,0.2822834,167
6,585,0.27642944,1290
6,317,0.274385,2814
6,10418,0.2717659,1278
6,10717,0.26955226,278
6,13357,0.2684675,1163
6,189,0.26764944,2367
6,191,0.26737165,985
6,9379,0.2669287,1805
6,51,0.26496062,607
6,16910,0.264504,294
6,24703,0.26158392,1723
6,8023,0.26048565,388
6,14513,0.2600494,3262
6,32542,0.25906664,1033
6,694,0.25886497,242
6,2031,0.25858733,293
6,3401,0.25706437,106
6,26055,0.25438955,1022
6,1710,0.2526538,283
7,24991,0.586009,629
7,10380,0.5189993,127
7,11255,0.47631907,108
7,31374,0.43515328,353
7,21033,0.42001992,965
7,30585,0.33456448,124
7,19429,0.32070744,1279
7,177,0.27713338,1511
7,1530,0.24842706,2440
7,160,0.24642846,487
7,10500,0.17894156,128
7,22839,0.16891052,308
7,7791,0.15751514,3086
7,11285,0.14035569,2329
7,30276,0.08537409,4876
7,8408,-0.011967064,1744
7,8115,-0.012451842,133
15,4662,0.5888167,127
15,4136,0.5110664,132
15,6336,0.49349692,269
15,1366,0.4895374,326
15,9479,0.44328028,726
15,8171,0.430218,137
15,15051,0.4162901,1400
15,8115,0.41612518,133
15,2589,0.4070455,202
15,3667,0.3735851,983
15,5310,0.36673108,294
15,987,0.30190054,613
15,21033,0.29333353,965
15,7465,0.29132158,867
15,529,0.29083648,694
15,8525,0.26771182,3977
15,8023,0.24065179,388
15,4477,0.19110197,1209
15,793,0.17247804,666
15,7367,0.16522747,317
15,31338,0.15572102,550
15,899,0.14259169,1135
15,3270,0.03240026,136
15,8557,0.022337144,1094
15,1916,-0.030761318,110
16,7367,0.40862682,317
16,160,0.39996663,487
16,24151,0.36965057,520
16,30749,0.3524212,606
16,32729,0.34832528,814
16,1051,0.3375237,396
16,10714,0.33021694,307
16,11113,0.30272803,587
16,75,0.27377915,237
16,4087,0.26421514,632
16,904,0.24426818,1009
16,8408,0.23042719,1744
16,8115,0.22783981,133
16,18295,0.21349424,856
16,463,0.2078022,729
16,2025,0.19573288,5069
16,26055,0.19196631,1022
16,565,0.1902791,704
16,7785,0.16916315,765
16,5356,0.16290252,1485
16,461,0.13803448,775
16,15315,0.13564214,2629
16,1214,0.13399176,115
16,19291,0.10951531,149
16,6401,0.09216292,208
16,10578,0.07946936,1164
16,478,0.06540432,503
16,12293,0.047112063,1983
16,3270,0.043923102,136
16,11617,0.031040017,4814
16,10589,-0.012396035,1146
16,10519,-0.019558247,230
16,29163,-0.058341514,200
16,31478,-0.08700349,1057
16,24075,-0.09282468,324
17,2424,0.966195,250
17,23421,0.67964345,740
17,22663,0.62948596,1018
17,5310,0.46656948,294
17,6151,0.46048313,322
17,4662,0.18898223,127
17,303,0.0,204
17,75,-0.22428066,237
18,16910,0.70014006,294
18,75,0.43193537,237
18,958,0.42735216,106
18,8768,0.4047501,651
18,16894,0.38763705,2779
18,7655,0.34867126,381
18,6633,0.30846912,385
18,32370,0.28947952,365
18,6984,0.26809514,163
18,5356,0.26447308,1485
18,8557,0.22284243,1094
18,387,0.2218867,1183
18,10568,0.13511494,1415
18,15051,0.13195357,1400
18,3167,0.11648367,1178
18,30355,0.025949964,203
18,7367,-0.07520711,317
18,514,-0.21640071,511
18,4662,-0.21978033,127
18,8115,-0.2201762,133
18,1220,-0.2236068,103
19,694,0.50680107,242
19,15591,0.4173913,117
19,160,0.3720029,487
19,6178,0.33822128,501
19,8115,0.33745223,133
19,8171,0.32498476,137
19,7367,0.31887627,317
19,16201,0.307516,633
19,1060,0.29682833,211
19,7465,0.29381117,867
19,10500,0.28803617,128
19,20221,0.27742195,125
19,25681,0.25502878,743
19,6918,0.25152856,186
19,10624,0.22681256,333
19,3167,0.22396183,1178
19,24991,0.2196762,629
19,5356,0.21956964,1485
19,17741,0.2001439,712
19,400,0.19662672,958
19,7791,0.19027533,3086
19,11285,0.18677796,2329
19,20973,0.17639683,730
19,10622,0.17576963,267
19,1619,0.17325114,220
19,564,0.17153788,401
19,28223,0.16668643,3673
19,5079,0.16558681,790
19,958,0.15489934,106
19,30276,0.14619316,4876
19,9055,0.14074361,247
19,10507,0.1374911,139
19,50,0.13533838,1306
19,7785,0.13148019,765
19,24405,0.1267927,315
19,14467,0.11677371,3123
19,11113,0.11475856,587
19,29093,0.10409808,943
19,565,0.089286216,704
19,7661,0.08750014,472
19,21569,0.08722745,100
19,32188,0.075620584,330
19,2417,0.074739695,138
19,190,0.07400152,1238
19,12113,0.07071212,1004
19,819,0.06671128,468
19,19429,0.06480137,1279
19,16011,0.06334815,1639
19,21033,0.053864956,965
19,6512,0.043001387,2187
20,24781,0.60518414,149
20,2144,0.5608311,1641
20,2108,0.534394,119
20,173,0.53358436,234
20,5337,0.52974147,141
20,10589,0.5267586,1146
20,159,0.5014252,125
20,7367,0.49142465,317
20,1565,0.47932398,593
20,495,0.47082224,102
20,1194,0.46523887,133
20,6178,0.4573763,501
20,10507,0.45360902,139
20,3033,0.4522112,254
20,9347,0.4459251,286
20,19367,0.44577488,403
20,236,0.4410695,128
20,1974,0.4405257,110
20,1710,0.4384466,283
20,897,0.42704284,1062
20,492,0.42320436,206
20,4835,0.41894457,2066
20,3918,0.41743764,102
20,3656,0.41138077,268
20,1842,0.40922594,488
20,899,0.4021588,1135
20,4063,0.3999193,2497
20,3392,0.39698172,277
20,5504,0.39599758,153
20,694,0.3945804,242
20,10431,0.39441752,280
20,382,0.3921663,329
20,6633,0.39163083,385
20,250,0.3872474,411
20,10834,0.3858136,210
20,1191,0.38396388,107
20,3229,0.3803381,1000
20,18689,0.37977904,549
20,3092,0.37967896,1288
20,1118,0.3771493,1485
20,10108,0.37571037,146
20,3667,0.37396994,983
20,1253,0.37244934,391
20,1366,0.3714538,326
20,2471,0.36993042,107
20,1506,0.36983278,329
20,25517,0.36966226,272
20,14293,0.36900124,516
20,16680,0.3683029,161
20,10491,0.36745515,607
22,1710,0.7539417,283
22,2225,0.61634266,167
22,247,0.5679626,109
22,4662,0.52254486,127
22,15051,0.5157513,1400
22,22663,0.51405376,1018
22,24893,0.48854584,645
22,30355,0.48546183,203
22,7367,0.47250703,317
22,30056,0.43033147,144
22,3270,0.42083982,136
22,28979,0.39669132,521
22,7,0.38222793,736
22,1842,0.38130328,488
22,529,0.3689453,694
22,2124,0.3343557,356
22,8525,0.29146084,3977
22,21033,0.2888709,965
22,12113,0.26769614,1004
22,166,0.24412727,1007
22,1140,0.2100117,711
22,293,0.20327891,129
22,565,0.16045155,704
22,27441,0.01207549,174
22,387,-0.089365795,1183
22,6203,-0.13634011,342
24,22225,0.6574451,115
24,10507,0.6276424,139
24,32526,0.5036144,281
24,541,0.47296235,210
24,6024,0.44816574,126
24,958,0.43514535,106
24,10834,0.4314575,210
24,19023,0.40514937,242
24,10536,0.40237105,247
24,6974,0.39290524,811
24,21405,0.38804507,1987
24,3328,0.38754517,524
24,25429,0.38622585,551
24,32553,0.37540588,115
24,3229,0.36530432,1000
24,10519,0.3588644,230
24,33082,0.35774332,189
24,10622,0.3460352,267
24,4999,0.345063,1698
24,20889,0.34425154,162
24,1530,0.33815113,2440
24,5141,0.32263958,100
24,746,0.32102278,441
24,15315,0.3094945,2629
24,11285,0.3093175,2329
24,400,0.30446103,958
24,32542,0.30025676,1033
24,24151,0.29958844,520
24,5914,0.29584947,237
24,102,0.29054782,834
24,741,0.28923726,456
24,10532,0.28858116,114
24,24405,0.28848246,315
24,4094,0.28723875,294
24,317,0.27928352,2814
24,495,0.2761078,102
24,2924,0.2755653,1951
24,21033,0.2700914,965
24,3167,0.26991263,1178
24,23251,0.26787525,722
24,1480,0.26524973,104
24,8408,0.2616157,1744
24,11113,0.2567544,587
24,2025,0.25640315,5069
24,10500,0.252215,128
24,4798,0.24532565,159
24,6802,0.2432452,787
24,4662,0.23765132,127
24,11227,0.23615831,391
24,14575,0.2279762,202
25,21563,0.67978626,456
25,10536,0.677139,247
25,6024,0.6126915,126
25,51,0.53371066,607
25,2298,0.47581226,157
25,984,0.4752479,387
25,8230,0.47298422,127
25,8115,0.45066038,133
25,5141,0.44136742,100
25,160,0.4375866,487
25,1619,0.39244112,220
25,16317,0.36496633,144
25,226,0.24713965,7970
25,13601,0.23723166,4719
25,7791,0.22959466,3086
25,21405,0.2267262,1987
25,23233,0.1886629,1551
25,20509,0.18579547,630
25,21033,0.17234743,965
25,746,0.17056057,441
25,11113,0.15512036,587
25,10624,0.139429,333
25,541,0.13026547,210
25,7739,0.1278998,498
25,3392,0.03338903,277
25,18295,-0.0014364483,856
26,7739,0.61495227,498
26,11255,0.6129276,108
26,5332,0.5516773,111
26,6895,0.33563814,908
26,160,0.29801595,487
26,565,0.26175925,704
26,2273,0.22021602,588
26,3375,0.21336327,446
26,14719,0.09392295,1768
26,1060,0.016317723,211
26,16664,0.0008066775,393
26,30276,-0.024598558,4876
26,30585,-0.2227177,124
26,15591,-0.23985967,117
27,1619,0.6406916,220
27,29974,0.49371904,191
27,177,0.41464227,1511
27,1170,0.41342828,192
27,6633,0.40976703,385
27,11255,0.38820246,108
27,5005,0.3801548,100
27,10108,0.3740984,146
27,565,0.3714343,704
27,21033,0.36896005,965
27,1140,0.35453242,711
27,16385,0.34386355,311
27,23421,0.33549714,740
27,7739,0.33442247,498
27,18295,0.33279243,856
27,21405,0.3265395,1987
27,226,0.32583013,7970
27,12671,0.3177067,218
27,1191,0.31007764,107
27,492,0.2991154,206
27,21561,0.26853296,1245
27,3032,0.26723474,207
27,4477,0.25726008,1209
27,11285,0.25097322,2329
27,5074,0.19566183,403
27,11227,0.19133689,391
27,6280,0.17687844,342
27,385,0.16029926,210
27,30276,0.13914195,4876
27,10500,0.12462362,128
27,24405,0.120971374,315
27,595,0.088322505,137
27,31964,0.08545058,2304
27,24991,0.027431887,629
27,7465,-0.07999676,867
27,6024,-0.08550678,126
27,5332,-0.21841234,111
27,3401,-0.33073488,106
28,4662,0.6963575,127
28,10834,0.6392092,210
28,6633,0.5205096,385
28,24151,0.4975321,520
28,6984,0.45254943,163
28,567,0.3371226,470
28,20053,0.31323487,337
28,15315,0.2973404,2629
28,15051,0.27890605,1400
28,5310,0.26681474,294
28,18295,0.2468821,856
28,387,0.018194528,1183
28,6401,-0.21193562,208
28,24781,-0.78446454,149
30,16201,0.3858366,633
30,4798,0.38138166,159
30,8171,0.36947447,137
30,19391,0.35486612,246
30,17743,0.338726,126
30,15591,0.32601517,117
30,23459,0.3187095,115
30,10431,0.30977798,280
30,30585,0.30177686,124
30,2298,0.2959418,157
30,441,0.29557455,293
30,8230,0.2932934,127
30,1842,0.28352565,488
30,12637,0.2825436,114
30,31683,0.27710235,125
30,659,0.2730315,565
30,1002,0.27083823,472
30,126,0.2694771,268
30,24701,0.2557655,652
30,31091,0.25170383,272
30,6336,0.24891457,269
30,160,0.2469635,487
30,670,0.24656661,393
30,31297,0.24589561,419
30,7655,0.24586861,381
30,2744,0.24551578,119
30,7661,0.23791581,472
30,20221,0.23608229,125
30,7785,0.23450796,765
30,2273,0.23293826,588
30,7017,0.2325938,614
30,3087,0.23253667,723
30,24781,0.23138003,149
30,5205,0.23128681,1556
30,13429,0.22943017,220
30,3392,0.22938873,277
30,9963,0.22683206,233
30,2006,0.22232604,437
30,382,0.22076242,329
30,250,0.219688,411
30,6948,0.21903671,380
30,4087,0.21889907,632
30,17637,0.21671312,139
30,29854,0.21639714,629
30,564,0.21632943,401
30,570,0.21309672,786
30,7367,0.21227811,317
30,1601,0.21054576,171
30,11113,0.20814972,587
30,4262,0.20662451,343
